name,Regression_Owner
cdp.hades.new_zk_partition.test_new_zk_partition.TestNewZkPartition.test_new_zk_partition_with_ei,Swapnil
cdp.pithos.config_change_tests.pithos_integrity.test_pithos_integrity_v2.PithosIntegrityTestV2.test_ring_change_with_pithos_integrity___self_healing_due_to_repeated_restarts_acting_drc_crash_test,Swapnil
cassandra_medusa.healthy_node_removal.io_integrity.test_healthy_node_removal_with_io_integrity.HealthyNodeRemovalTest.test_healthy_node_removal___unhealthy_node_removal,Swapnil
cdp.stargate.power_cycling.test_io_integrity_power_cycling.PowerCyclingIOIntegrityTest.test_io_integrity___node_power_cycle,Swapnil
cdp.blockstore.xmount.test_xmount_basic.XmountBasicTest.test_xmount_basic,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_rf_transition_while_nodes_outside_ring_with_io_integrity.RFTransitionWhileNodesOutsideRingWithIOIntegrityTest.test_rf_transition_while_nodes_outside_ring_with_io_integrity,Swapnil
cdp.hades.disk_api_tests.test_disk_v4_api.TestDiskV4API.test_random_api_when_hades_is_down,Swapnil
cdp.hades.disk_api_tests.test_disk_v4_api.TestDiskV4API.test_disk_repartition_add_zeus_api,Swapnil
cdp.hades.all_nvme_support.test_all_nvme_support.TestAllNvmeSupport.test_disk_remove_add,Swapnil
cdp.hades.bad_disk_tests.test_bad_disk_workflows.BadDiskWorkflowTest.test_stargate_offline_disk___nvme_serviceability,Swapnil
cdp.zookeeper.zk_leadership_blueprint.test_zk_leadership_blueprint.ZookeeperReactiveApproach.test_skew_correctness,Swapnil
cdp.zookeeper.zk_leadership_blueprint.test_zk_leadership_blueprint.ZookeeperReactiveApproach.test_relinquish_op,Swapnil
cdp.zookeeper.zk_leadership_blueprint.test_zk_leadership_blueprint.ZookeeperBlueprintTests~~~ReactiveApproach.test_leadership_distribution_on_host_removal,Swapnil
cdp.zookeeper.zk_leadership_blueprint.test_zk_leadership_blueprint.ZookeeperBlueprintTests~~~ReactiveApproach.test_leadership_distribution,Swapnil
cdp.zookeeper.zk_leadership_blueprint.test_zk_leadership_blueprint.ZookeeperBlueprintTests.test_leadership_distribution_on_node_removal_add,Swapnil
cdp.stargate.power_cycling.test_io_integrity_power_cycling.PowerCyclingIOIntegrityTest~~~NVMe-TCP.test_io_integrity___node_power_cycle,Swapnil
cassandra_medusa.error_injection_tests.io_integrity.test_error_injection_with_io_integrity.ErrorInjectionWithIOIntegrity.test_error_injection_with_io_integrity___unplanned_node_down_test,Swapnil
cassandra_medusa.error_injection_tests.io_integrity.test_error_injection_with_io_integrity.ErrorInjectionWithIOIntegrity.test_error_injection_with_io_integrity___serial_one_disk_one_node_down_test,Swapnil
cassandra_medusa.error_injection_tests.io_integrity.test_error_injection_with_io_integrity.ErrorInjectionWithIOIntegrity.test_error_injection_with_io_integrity___serial_one_disk_node_down_test,Swapnil
cassandra_medusa.error_injection_tests.io_integrity.test_error_injection_with_io_integrity.ErrorInjectionWithIOIntegrity.test_error_injection_with_io_integrity___planned_node_down_test,Swapnil
cassandra_medusa.error_injection_tests.io_integrity.test_error_injection_with_io_integrity.ErrorInjectionWithIOIntegrity.test_error_injection_with_io_integrity___disk_offline_test,Swapnil
cassandra_medusa.error_injection_tests.io_integrity.test_error_injection_with_io_integrity.ErrorInjectionWithIOIntegrity.test_error_injection_with_io_integrity___concurrent_one_disk_one_node_down_test,Swapnil
cassandra_medusa.error_injection_tests.io_integrity.test_error_injection_with_io_integrity.ErrorInjectionWithIOIntegrity.test_error_injection_with_io_integrity___component_error_injection___1n1d_cft,Swapnil
cdp.pithos.key_distribution_tests.test_key_distribution_v2.KeyDistributionWithPithosIntegrityV2.test_verify_key_distribution_existing_vdisks___svm_reboot,Swapnil
cdp.zookeeper.zk_migration.test_zk_migration.ZookeeperMigrationTestWithIOintegrity.test_io_integrity___with_zk_migration_random,Swapnil
cdp.stargate.power_cycling.test_io_integrity_power_cycling.PowerCyclingIOIntegrityTest~~~Blockstore_SPDK.test_io_integrity___node_power_cycle,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___unhealthy_rapid_attach_detach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___self_healing_due_to_induced_sstable_corruption,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___self_healing_due_induced_commitlog_corruption,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___corrupt_sstable_on_each_node_mr_improvement,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___self_healing_due_to_induced_sstable_corruption_mr_improvement,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___self_healing_due_to_corrupt_sstable_and_commit_log_mr_improvement,Swapnil
cdp.zookeeper.zk_migration.test_zk_migration.ZookeeperMigrationTest.test_zk_migration_destination_zk_monitor_died,Swapnil
cdp.zookeeper.zk_migration.test_zk_migration.ZookeeperMigrationTest.test_zk_migration_source_zk_monitor_died,Swapnil
cassandra_medusa.error_injection_tests.degraded_node_tests.io_integrity.test_degraded_node_with_io_integrity.DegradedNodeWithIOIntegrity.test_degraded_node_with_io_integrity___degraded_node_with_maintenance_mode_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___two_metadata_disk_replacement,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___metadata_disk_replacement_on_detached_node_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___planned_metadata_disk_replacement_with_acting_drc_crash,Swapnil
cassandra_medusa.config_change_tests.test_remove_node_planned_metadata_disk_replacement_test.TestRemoveNodeMetadataDiskRemovalTest.test_remove_node_metadata_disk_removal_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___planned_metadata_disk_replacement_with_replica_ei,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___metadata_disk_removal_abort_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___detach_node_planned_metadata_disk_replacement_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___all_metadata_disk_serial_replacement,Swapnil
